algoritmo utilizado,numero a buscar,tamano de n,tiempo real,encontrado
1,0,100,2.8610229492e-06,1
1,5000,100,4.0531158447e-06,-1
1,61396,100,2.1457672119e-06,-1
1,152503,100,2.8610229492e-06,-1
1,214826,100,4.0531158447e-06,-1
1,322486,100,4.0531158447e-06,-1
1,3128036,100,2.8610229492e-06,-1
1,6337399,100,2.8610229492e-06,-1
1,10393545,100,1.9073486328e-06,-1
1,14700764,100,3.0994415283e-06,-1
1,187645041,100,1.9073486328e-06,-1
1,450057883,100,3.0994415283e-06,-1
1,1295390003,100,1.9073486328e-06,-1
1,1360839354,100,2.8610229492e-06,-1
1,1493283650,100,2.8610229492e-06,-1
1,1843349527,100,2.8610229492e-06,-1
1,1980098116,100,1.9073486328e-06,-1
1,2109248666,100,3.0994415283e-06,-1
1,2147445644,100,2.8610229492e-06,-1
1,2147470852,100,2.8610229492e-06,-1
 , ,promedio,=sum(D2:D21)/count(D2:D21), 
1,0,1000,9.5367431641e-07,1
1,5000,1000,6.9141387939e-06,-1
1,61396,1000,5.9604644775e-06,-1
1,152503,1000,7.1525573730e-06,-1
1,214826,1000,5.9604644775e-06,-1
1,322486,1000,8.1062316895e-06,-1
1,3128036,1000,7.1525573730e-06,-1
1,6337399,1000,7.1525573730e-06,-1
1,10393545,1000,6.9141387939e-06,-1
1,14700764,1000,6.9141387939e-06,-1
1,187645041,1000,7.1525573730e-06,-1
1,450057883,1000,8.1062316895e-06,-1
1,1295390003,1000,1.0013580322e-05,-1
1,1360839354,1000,1.0013580322e-05,-1
1,1493283650,1000,8.1062316895e-06,-1
1,1843349527,1000,8.1062316895e-06,-1
1,1980098116,1000,8.1062316895e-06,-1
1,2109248666,1000,6.9141387939e-06,-1
1,2147445644,1000,1.0013580322e-05,-1
1,2147470852,1000,7.1525573730e-06,-1
 , ,promedio,=sum(D23:D42)/count(D23:D42), 
1,0,5000,2.1457672119e-06,1
1,5000,5000,2.6941299438e-05,-1
1,61396,5000,2.8133392334e-05,-1
1,152503,5000,3.9100646973e-05,-1
1,214826,5000,3.0040740967e-05,-1
1,322486,5000,1.0013580322e-05,1
1,3128036,5000,2.7179718018e-05,-1
1,6337399,5000,2.6941299438e-05,-1
1,10393545,5000,3.0994415283e-05,-1
1,14700764,5000,3.0040740967e-05,-1
1,187645041,5000,3.0994415283e-05,-1
1,450057883,5000,3.0994415283e-05,-1
1,1295390003,5000,3.0040740967e-05,-1
1,1360839354,5000,2.7179718018e-05,-1
1,1493283650,5000,2.7894973755e-05,-1
1,1843349527,5000,3.0994415283e-05,-1
1,1980098116,5000,2.7894973755e-05,-1
1,2109248666,5000,3.0994415283e-05,-1
1,2147445644,5000,3.0994415283e-05,-1
1,2147470852,5000,3.0040740967e-05,-1
 , ,promedio,=sum(D44:D63)/count(D44:D63), 
1,0,10000,2.8610229492e-06,1
1,5000,10000,5.8889389038e-05,-1
1,61396,10000,5.7935714722e-05,-1
1,152503,10000,5.8889389038e-05,-1
1,214826,10000,5.7935714722e-05,-1
1,322486,10000,1.0967254639e-05,1
1,3128036,10000,7.6055526733e-05,-1
1,6337399,10000,5.8174133301e-05,-1
1,10393545,10000,5.9127807617e-05,-1
1,14700764,10000,5.2928924561e-05,-1
1,187645041,10000,7.5101852417e-05,-1
1,450057883,10000,5.1975250244e-05,-1
1,1295390003,10000,5.9127807617e-05,-1
1,1360839354,10000,5.2928924561e-05,-1
1,1493283650,10000,5.3167343140e-05,-1
1,1843349527,10000,7.5101852417e-05,-1
1,1980098116,10000,5.8889389038e-05,-1
1,2109248666,10000,6.0081481934e-05,-1
1,2147445644,10000,5.9127807617e-05,-1
1,2147470852,10000,5.8889389038e-05,-1
 , ,promedio,=sum(D65:D84)/count(D65:D84), 
1,0,50000,1.9073486328e-06,1
1,5000,50000,3.6692619324e-04,-1
1,61396,50000,2.5701522827e-04,-1
1,152503,50000,2.5701522827e-04,-1
1,214826,50000,2.5796890259e-04,-1
1,322486,50000,1.0013580322e-05,1
1,3128036,50000,8.5830688477e-05,1
1,6337399,50000,1.7118453979e-04,1
1,10393545,50000,2.4914741516e-04,1
1,14700764,50000,2.5701522827e-04,-1
1,187645041,50000,2.8491020203e-04,-1
1,450057883,50000,3.6692619324e-04,-1
1,1295390003,50000,2.8514862061e-04,-1
1,1360839354,50000,2.5701522827e-04,-1
1,1493283650,50000,3.6716461182e-04,-1
1,1843349527,50000,2.8514862061e-04,-1
1,1980098116,50000,2.8514862061e-04,-1
1,2109248666,50000,2.8491020203e-04,-1
1,2147445644,50000,3.0088424683e-04,-1
1,2147470852,50000,2.5701522827e-04,-1
 , ,promedio,=sum(D86:D105)/count(D86:D105), 
1,0,100000,2.1457672119e-06,1
1,5000,100000,5.2309036255e-04,-1
1,61396,100000,5.7101249695e-04,-1
1,152503,100000,5.7196617126e-04,-1
1,214826,100000,5.4001808167e-04,-1
1,322486,100000,1.0013580322e-05,1
1,3128036,100000,7.8916549683e-05,1
1,6337399,100000,1.5497207642e-04,1
1,10393545,100000,2.5081634521e-04,1
1,14700764,100000,5.1498413086e-04,-1
1,187645041,100000,5.7196617126e-04,-1
1,450057883,100000,5.7196617126e-04,-1
1,1295390003,100000,5.3405761719e-04,-1
1,1360839354,100000,5.1498413086e-04,-1
1,1493283650,100000,5.1593780518e-04,-1
1,1843349527,100000,5.1498413086e-04,-1
1,1980098116,100000,5.1617622375e-04,-1
1,2109248666,100000,5.2094459534e-04,-1
1,2147445644,100000,5.7196617126e-04,-1
1,2147470852,100000,5.1689147949e-04,-1
 , ,promedio,=sum(D107:D126)/count(D107:D126), 
1,0,200000,2.1457672119e-06,1
1,5000,200000,1.0318756104e-03,-1
1,61396,200000,1.0490417480e-03,-1
1,152503,200000,1.0340213776e-03,-1
1,214826,200000,1.0449886322e-03,-1
1,322486,200000,1.0967254639e-05,1
1,3128036,200000,7.7962875366e-05,1
1,6337399,200000,1.5497207642e-04,1
1,10393545,200000,2.6702880859e-04,1
1,14700764,200000,1.0409355164e-03,-1
1,187645041,200000,1.0330677032e-03,-1
1,450057883,200000,1.0330677032e-03,-1
1,1295390003,200000,1.0340213776e-03,-1
1,1360839354,200000,1.0390281677e-03,-1
1,1493283650,200000,1.0490417480e-03,-1
1,1843349527,200000,1.0879039764e-03,-1
1,1980098116,200000,1.0340213776e-03,-1
1,2109248666,200000,1.0449886322e-03,-1
1,2147445644,200000,1.0352134705e-03,-1
1,2147470852,200000,1.0330677032e-03,-1
 , ,promedio,=sum(D128:D147)/count(D128:D147), 
1,0,400000,1.9073486328e-06,1
1,5000,400000,2.1028518677e-03,-1
1,61396,400000,2.0761489868e-03,-1
1,152503,400000,2.1071434021e-03,-1
1,214826,400000,2.0730495453e-03,-1
1,322486,400000,1.0013580322e-05,1
1,3128036,400000,7.7962875366e-05,1
1,6337399,400000,1.5497207642e-04,1
1,10393545,400000,2.5415420532e-04,1
1,14700764,400000,2.0840167999e-03,-1
1,187645041,400000,2.0740032196e-03,-1
1,450057883,400000,2.0828247070e-03,-1
1,1295390003,400000,2.1049976349e-03,-1
1,1360839354,400000,2.0749568939e-03,-1
1,1493283650,400000,2.0980834961e-03,-1
1,1843349527,400000,2.0999908447e-03,-1
1,1980098116,400000,2.0859241486e-03,-1
1,2109248666,400000,2.0830631256e-03,-1
1,2147445644,400000,2.0740032196e-03,-1
1,2147470852,400000,2.0740032196e-03,-1
 , ,promedio,=sum(D149:D168)/count(D149:D168), 
1,0,600000,1.9073486328e-06,1
1,5000,600000,3.1199455261e-03,-1
1,61396,600000,3.1249523163e-03,-1
1,152503,600000,3.1259059906e-03,-1
1,214826,600000,3.1321048737e-03,-1
1,322486,600000,1.0013580322e-05,1
1,3128036,600000,7.8916549683e-05,1
1,6337399,600000,1.5592575073e-04,1
1,10393545,600000,2.5987625122e-04,1
1,14700764,600000,3.1380653381e-03,-1
1,187645041,600000,3.1239986420e-03,-1
1,450057883,600000,3.1249523163e-03,-1
1,1295390003,600000,3.1251907349e-03,-1
1,1360839354,600000,3.1239986420e-03,-1
1,1493283650,600000,3.1270980835e-03,-1
1,1843349527,600000,3.1409263611e-03,-1
1,1980098116,600000,3.1239986420e-03,-1
1,2109248666,600000,3.1278133392e-03,-1
1,2147445644,600000,3.1318664551e-03,-1
1,2147470852,600000,3.1280517578e-03,-1
 , ,promedio,=sum(D170:D189)/count(D170:D189), 
1,0,800000,1.9073486328e-06,1
1,5000,800000,4.1730403900e-03,-1
1,61396,800000,4.1790008545e-03,-1
1,152503,800000,4.1670799255e-03,-1
1,214826,800000,4.1720867157e-03,-1
1,322486,800000,9.7751617432e-06,1
1,3128036,800000,8.0108642578e-05,1
1,6337399,800000,1.5616416931e-04,1
1,10393545,800000,2.5415420532e-04,1
1,14700764,800000,4.1689872742e-03,-1
1,187645041,800000,4.1780471802e-03,-1
1,450057883,800000,4.1918754578e-03,-1
1,1295390003,800000,4.1749477386e-03,-1
1,1360839354,800000,4.1728019714e-03,-1
1,1493283650,800000,4.1878223419e-03,-1
1,1843349527,800000,4.1708946228e-03,-1
1,1980098116,800000,4.2018890381e-03,-1
1,2109248666,800000,4.1718482971e-03,-1
1,2147445644,800000,4.1699409485e-03,-1
1,2147470852,800000,4.1739940643e-03,-1
 , ,promedio,=sum(D191:D210)/count(D191:D210), 
1,0,1000000,2.1457672119e-06,1
1,5000,1000000,5.2139759064e-03,-1
1,61396,1000000,5.2311420441e-03,-1
1,152503,1000000,5.2399635315e-03,-1
1,214826,1000000,5.2230358124e-03,-1
1,322486,1000000,1.0967254639e-05,1
1,3128036,1000000,8.0108642578e-05,1
1,6337399,1000000,1.5592575073e-04,1
1,10393545,1000000,2.5510787964e-04,1
1,14700764,1000000,5.2127838135e-03,-1
1,187645041,1000000,5.2211284637e-03,-1
1,450057883,1000000,5.2399635315e-03,-1
1,1295390003,1000000,5.2180290222e-03,-1
1,1360839354,1000000,5.2239894867e-03,-1
1,1493283650,1000000,5.2208900452e-03,-1
1,1843349527,1000000,5.2380561829e-03,-1
1,1980098116,1000000,5.2151679993e-03,-1
1,2109248666,1000000,5.2418708801e-03,-1
1,2147445644,1000000,5.2161216736e-03,-1
1,2147470852,1000000,5.2189826965e-03,-1
 , ,promedio,=sum(D212:D231)/count(D212:D231), 
1,0,2000000,3.0994415283e-06,1
1,5000,2000000,1.0430097580e-02,-1
1,61396,2000000,1.0436058044e-02,-1
1,152503,2000000,1.0514020920e-02,-1
1,214826,2000000,1.0436058044e-02,-1
1,322486,2000000,1.1205673218e-05,1
1,3128036,2000000,7.8916549683e-05,1
1,6337399,2000000,1.5592575073e-04,1
1,10393545,2000000,2.5391578674e-04,1
1,14700764,2000000,1.0458946228e-02,-1
1,187645041,2000000,1.0455131531e-02,-1
1,450057883,2000000,1.0449886322e-02,-1
1,1295390003,2000000,1.0447978973e-02,-1
1,1360839354,2000000,1.0552167892e-02,-1
1,1493283650,2000000,1.0457038879e-02,-1
1,1843349527,2000000,1.0446071625e-02,-1
1,1980098116,2000000,1.0450124741e-02,-1
1,2109248666,2000000,1.0445833206e-02,-1
1,2147445644,2000000,1.0616064072e-02,-1
1,2147470852,2000000,1.0494947433e-02,-1
 , ,promedio,=sum(D233:D252)/count(D233:D252), 
1,0,3000000,3.0994415283e-06,1
1,5000,3000000,1.5676021576e-02,-1
1,61396,3000000,1.5670061111e-02,-1
1,152503,3000000,1.5649080276e-02,-1
1,214826,3000000,1.5685081482e-02,-1
1,322486,3000000,1.0013580322e-05,1
1,3128036,3000000,7.8916549683e-05,1
1,6337399,3000000,1.5592575073e-04,1
1,10393545,3000000,2.5391578674e-04,1
1,14700764,3000000,1.5712022781e-02,-1
1,187645041,3000000,1.5707969666e-02,-1
1,450057883,3000000,1.5684843063e-02,-1
1,1295390003,3000000,1.5657901764e-02,-1
1,1360839354,3000000,1.5692949295e-02,-1
1,1493283650,3000000,1.5680074692e-02,-1
1,1843349527,3000000,1.5653133392e-02,-1
1,1980098116,3000000,1.5725851059e-02,-1
1,2109248666,3000000,1.5681028366e-02,-1
1,2147445644,3000000,1.5653848648e-02,-1
1,2147470852,3000000,1.5676975250e-02,-1
 , ,promedio,=sum(D254:D273)/count(D254:D273), 
1,0,4000000,1.9073486328e-06,1
1,5000,4000000,2.0869970322e-02,-1
1,61396,4000000,2.0956993103e-02,-1
1,152503,4000000,2.0889997482e-02,-1
1,214826,4000000,2.0975112915e-02,-1
1,322486,4000000,1.0013580322e-05,1
1,3128036,4000000,7.8916549683e-05,1
1,6337399,4000000,1.5592575073e-04,1
1,10393545,4000000,2.5391578674e-04,1
1,14700764,4000000,2.0865201950e-02,-1
1,187645041,4000000,2.0975828171e-02,-1
1,450057883,4000000,2.0889997482e-02,-1
1,1295390003,4000000,2.0873069763e-02,-1
1,1360839354,4000000,2.0936012268e-02,-1
1,1493283650,4000000,2.0879983902e-02,-1
1,1843349527,4000000,2.0864009857e-02,-1
1,1980098116,4000000,2.0904064178e-02,-1
1,2109248666,4000000,2.0891904831e-02,-1
1,2147445644,4000000,2.0923137665e-02,-1
1,2147470852,4000000,2.0923137665e-02,-1
 , ,promedio,=sum(D275:D294)/count(D275:D294), 
1,0,5000000,1.9073486328e-06,1
1,5000,5000000,2.6108980179e-02,-1
1,61396,5000000,2.6087999344e-02,-1
1,152503,5000000,2.6292085648e-02,-1
1,214826,5000000,2.6109933853e-02,-1
1,322486,5000000,1.0967254639e-05,1
1,3128036,5000000,7.8916549683e-05,1
1,6337399,5000000,1.5592575073e-04,1
1,10393545,5000000,2.5510787964e-04,1
1,14700764,5000000,2.6111125946e-02,-1
1,187645041,5000000,2.6129007339e-02,-1
1,450057883,5000000,2.6167154312e-02,-1
1,1295390003,5000000,2.6122808456e-02,-1
1,1360839354,5000000,2.6171922684e-02,-1
1,1493283650,5000000,2.6110887527e-02,-1
1,1843349527,5000000,2.6110172272e-02,-1
1,1980098116,5000000,2.6098012924e-02,-1
1,2109248666,5000000,2.6185989380e-02,-1
1,2147445644,5000000,2.6126861572e-02,-1
1,2147470852,5000000,2.6152849197e-02,-1
